吉	5
いとなみ	5
反駁	5
機械	5
よみ	5
よぶ	5
時計	5
とれる	5
まだまだ	5
なする	5
暗がり	5
感覚	5
へす	5
飜譯	5
觀	5
妹	5
脊	5
脈	5
尽きる	5
統一	5
横川	5
向う岸	5
樺太	5
爲	5
美しい	5
おそい	5
つかまえる	5
しいる	5
起つ	5
ぱり	5
すこし	5
簡單	5
青春	5
疊半	5
うどん	5
迎る	5
はめる	5
泳ぐ	5
兒	5
膳	5
兩	5
入	5
飛び込む	5
社員	5
堪えがたい	5
ならべる	5
警察	5
残る	5
勇	5
豫定	5
年貢	5
費用	5
べつに	5
オルグ	5
失明	5
黙る	5
自己	5
吸	5
はずむ	5
鬱結	5
関係	5
從來	5
勢力	5
写真	5
警戒	5
おそらく	5
問	5
奧底	5
疲れ	5
花	5
困る	5
徳利	5
みるみる	5
鳴る	5
やさしい	5
灯る	5
下駄	5
まひ	5
復	5
奥底	5
被告	5
差配	5
経つ	5
はなし	5
たとい	5
食	5
病る	5
眼瞼	5
旅行	5
なかに	5
若もの	5
仔	5
体	5
期間	5
うながす	5
留置	5
立木	5
目的	5
消す	5
弱る	5
広い	5
てこ	5
玄	5
何と	5
逃げる	5
味	5
もちろん	5
含む	5
監	5
博	5
花子	5
物	5
牛	5
夜店	5
拳	5
破る	5
悪臭	5
かく	5
ば	5
づ	5
大衆	5
感傷	5
二度と	5
世間	5
發展	5
裾	5
雜誌	5
惡臭	5
編笠	5
棄てる	5
片手	5
澱む	4
小林	4
大声	4
亂	4
心細い	4
信介	4
はさむ	4
糞	4
まり	4
開票	4
すかす	4
疲れる	4
なんでも	4
咳入る	4
西	4
さも	4
關	4
予想	4
藥	4
降る	4
必ずしも	4
心もち	4
別	4
しむ	4
面貌	4
柏餅	4
面会	4
誇る	4
浴衣	4
取りつく	4
喪心	4
冷える	4
髯	4
きびしい	4
映す	4
のせる	4
彼方	4
バタ	4
うまい	4
蔭	4
ななこ	4
叩く	4
溶ける	4
流れ込む	4
はねる	4
急ぎ足	4
肺	4
板の間	4
行李	4
ある日	4
とめる	4
底本	4
人柄	4
堅い	4
動かす	4
居間	4
しみる	4
きざす	4
訴	4
脈々	4
くら	4
親子	4
布団	4
おさえる	4
おくる	4
特有	4
視野	4
きまって	4
言葉少な	4
実に	4
ねる	4
政治	4
坊主	4
間借り	4
こする	4
和尚	4
除く	4
レプロシイ	4
よむ	4
べり	4
うなる	4
お母さん	4
紳士	4
心境	4
詳しい	4
はけ口	4
はなれる	4
まわす	4
さる	4
紙きれ	4
飛べる	4
要素	4
體何	4
周囲	4
獄中	4
大して	4
隣	4
渡す	4
野良	4
食慾	4
洲	4
見直す	4
食える	4
借金	4
進行	4
押し流す	4
発狂	4
いくど	4
筆	4
狙う	4
ほど近い	4
切り離す	4
三つ	4
虫	4
ハイ	4
伸びる	4
うむ	4
がけ	4
處	4
重々しい	4
適	4
時折	4
暴力	4
破片	4
革命	4
つけ	4
ど	4
立札	4
封書	4
働きかける	4
下痢	4
巡回	4
小説	4
瀬戸内海	4
こいつ	4
舌	4
反響	4
老母	4
うば	4
仰向け	4
望む	4
任せる	4
札	4
野良猫	4
動揺	4
記者	4
夜ふけ	4
えたい	4
便器	4
富	4
牢死	4
牢獄	4
一家	4
ブス	4
禮	4
うつす	4
状勢	4
あるける	4
けさ	4
古血	4
青森	4
ひそひそ	4
以來	4
くらす	4
覗く	4
箸	4
運搬	4
場	4
こもる	4
立去る	4
と口	4
到底	4
寝つく	4
豫感	4
昏迷	4
讀める	4
改めて	4
うしろ	4
食欲	4
捕われる	4
二郎	4
人通り	4
東海道	4
縣	4
道路	4
指導	4
包み	4
憶	4
徴候	4
胸先	4
ひらく	4
